Mod,Adds Reload Listeners,Adds Resource/Data Pack Finders,Auto-reloads Config Files,Automatic Testing,Custom 3D Models,Custom Advancements,Custom Animals,Custom Anvil Recipes,Custom Block Models,Custom Block Renderer,Custom Block Textures,Custom Blocks,Custom Brewing Recipes,Custom Client Commands,Custom Data Map Types,Custom Data Pack Sync,Custom Dimension Types,Custom Dimensions,Custom Entities,Custom Entity Attributes,Custom Entity Renderers,Custom GUI Screens,Custom GUI Textures,Custom Item Models,Custom Item Renderer,Custom Item Textures,Custom Items,Custom Key Mappings,Custom Loot Tables,Custom Mobs,Custom Model Loaders,Custom Network Packets,Custom Particles,Custom Potion Effects,Custom Recipe Types,Custom Recipes,Custom Registries,Custom Server Commands,Custom Shaders,Custom Structures,Custom Tag Assignments,Custom Tooltip Components,Custom World Generation,Handles Block Harvesting,Handles Chunk Loading,Handles Explosion Detonation,Handles Left Clicks with Empty Hands (Client-side),Handles Right Clicks with Empty Hands (Client-side),Handles Right Clicks with Items,Has Capability Providers,Has Commands,Listens to Bow Loose Events,Listens to Bow Nock Events,Listens to Chunk Load Events,Listens to Chunk Unload Events,Listens to Client Chat Messages,Listens to Dimension Change Events,Listens to Entity AI Target Change Events,Listens to Entity Block Destruction Events,Listens to Entity Breathing Events,Listens to Entity Damage Events,Listens to Entity Death Events,Listens to Entity Drop Events,Listens to Entity Equipment Change Events,Listens to Entity Fall Events,Listens to Entity Healing Events,Listens to Entity Interaction Events,Listens to Entity Interaction Events with Click Positions,Listens to Entity Join World Events,Listens to Entity Jump Events,Listens to Entity Knockback Events,Listens to Entity Shield Block Events,Listens to GUI Close Events,Listens to GUI Open Events,Listens to Inter-Mod Communication Events,Listens to Item Crafting Events,Listens to Item Pickup Events,Listens to Item Smelting Events,Listens to Left Click Block Events,Listens to Player Login Events,Listens to Player Logout Events,Listens to Potion Effect Added Events,Listens to Potion Effect Applicable Events,Listens to Potion Effect Expired Events,Listens to Potion Effect Removed Events,Listens to Recipe Updates,Listens to Right Click Block Events,Listens to Server About to Start Events,Listens to Server Chat Messages,Listens to Server Started Events,Listens to Server Starting Events,Listens to Server Stopped Events,Listens to Server Stopping Events,Listens to Tag Updates,Localization,Modifies Block Breaking,Modifies Block Breaking Speed,Modifies Block Placement,Modifies Default Components,Modifies Entity Spawning,Modifies Explosions,Modifies Farmland Trampling,Modifies GUI Rendering,Modifies Item Attributes,Modifies Methods,Modifies Tooltips,Modifies Villager Trades,Modifies Wandering Trader Trades,Modifies World Rendering,Patchouli Guide Book,Runs Client Tick Logic,Runs Entity Tick Logic,Runs Player Tick Logic,Runs Server Tick Logic,Runs World Tick Logic,Stores Data in World Saves,Uses Access Transformers,Uses Data Generators,Uses Data Maps,Uses Loot Modifiers,Uses Minecraft Functions
accelerateddecay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,,,,
actuallyadditions,,,,,,,,X,X,X,X,X,,,,,,,X,,,X,X,X,,X,X,,X,,,,X,,X,X,,,,,X,,X,,,X,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,X,X,,X,,,,,,,X,,,,,,,,X,X,,,,,,,,,X,,,,,X,X,,X,,,X,X,X,,X,
additional_lights,,,,,,,,,,,X,X,,,,,,,,,,,,X,,X,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
advanced_ae,,,,,X,X,,,X,X,X,X,,,,,,,X,,,X,,X,,X,X,,X,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,X,X,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,X,X,,,,,,,,X,,,,X,X,,,
ae2,X,,,,X,X,,,X,X,X,X,,,,,X,,X,,,X,,X,,X,X,,X,,,,X,,X,X,,,,,X,,X,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,X,,,,,,,,,,X,,,,X,,,,,,,X,X,X,,,
ae2ct,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,
ae2importexportcard,,,,,,,,,,,,,,,,,,,,,,X,X,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,X,,,,
ae2jeiintegration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ae2netanalyser,,,,,,X,,,,,,,,,,,,,,,,X,X,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,X,,,
ae2wtlib,,,,,,X,,,,,,,,,,,,,X,,,X,,X,,X,X,,,,,,,,X,X,,,,,X,,,,,,,,,,,X,X,,,,,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,X,,,,,,X,,,,,,X,,,,
